iter	Passed	Remaining
409	5041	7255
410	5053	7241
411	5063	7225
412	5077	7216
413	5087	7201
414	5098	7186
415	5107	7170
416	5118	7156
417	5129	7141
418	5140	7128
419	5151	7114
420	5162	7100
421	5174	7087
422	5185	7073
423	5197	7061
424	5207	7045
425	5218	7031
426	5230	7018
427	5243	7007
428	5255	6995
429	5267	6982
430	5280	6971
431	5292	6959
432	5303	6944
433	5314	6930
434	5326	6918
435	5336	6903
436	5347	6889
437	5358	6874
438	5369	6862
439	5392	6863
440	5405	6851
441	5417	6839
442	5431	6829
443	5441	6813
444	5456	6804
445	5466	6790
446	5477	6776
447	5489	6763
448	5498	6748
449	5509	6734
450	5520	6720
451	5533	6709
452	5547	6698
453	5558	6684
454	5569	6671
455	5580	6657
456	5592	6644
457	5604	6632
458	5616	6620
459	5628	6607
460	5642	6596
461	5653	6583
462	5664	6569
463	5675	6556
464	5686	6542
465	5699	6530
466	5710	6517
467	5722	6505
468	5734	6492
469	5745	6478
470	5755	6464
471	5766	6450
472	5778	6437
473	5788	6424
474	5799	6410
475	5808	6394
476	5818	6380
477	5828	6364
478	5842	6354
479	5852	6340
480	5865	6328
481	5878	6317
482	5886	6301
483	5899	6289
484	5913	6279
485	5924	6266
486	5937	6254
487	5948	6240
488	5959	6227
489	5971	6215
490	5982	6201
491	5996	6191
492	6008	6179
493	6021	6167
494	6031	6153
495	6043	6141
496	6056	6129
497	6067	6116
498	6079	6103
499	6092	6092
500	6105	6080
501	6118	6069
502	6128	6055
503	6149	6052
504	6162	6040
505	6172	6026
506	6182	6012
507	6194	5999
508	6209	5989
509	6221	5977
510	6233	5964
511	6245	5952
512	6257	5939
513	6269	5927
514	6280	5914
515	6293	5903
516	6305	5890
517	6316	5877
518	6330	5866
519	6342	5854
520	6353	5840
521	6364	5827
522	6381	5819
523	6393	5807
524	6404	5794
525	6417	5783
526	6444	5784
527	6455	5770
528	6468	5759
529	6481	5747
530	6492	5734
531	6503	5721
532	6512	5706
533	6523	5693
534	6535	5680
535	6545	5665
536	6556	5652
537	6567	5639
538	6579	5627
539	6590	5613
540	6601	5601
541	6613	5588
542	6625	5575
543	6637	5564
544	6649	5551
545	6661	5538
546	6672	5525
547	6684	5513
548	6695	5500
549	6706	5487
550	6718	5474
551	6731	5463
552	6743	5451
553	6756	5438
554	6766	5425
555	6778	5412
556	6790	5400
557	6802	5388
558	6813	5375
559	6823	5361
560	6833	5347
561	6844	5334
562	6857	5322
563	6870	5311
564	6880	5297
565	6892	5285
566	6903	5272
567	6916	5260
568	6928	5248
569	6940	5235
570	6951	5222
571	6963	5210
