iter	RMSE
315	9312.563583
316	9303.841444
317	9272.098179
318	9226.551314
319	9196.929179
320	9167.554989
321	9166.253321
322	9147.419901
323	9146.325989
324	9131.106715
325	9110.294788
326	9079.075322
327	9063.894586
328	9025.923371
329	9009.629125
330	9004.335856
331	9002.288418
332	8995.032167
333	8980.573504
334	8944.088391
335	8902.544983
336	8887.903791
337	8865.800805
338	8842.261152
339	8836.300979
340	8828.580502
341	8781.779378
342	8759.072436
343	8754.190141
344	8724.279944
345	8718.604586
346	8713.661607
347	8685.950364
348	8682.602087
349	8658.231834
350	8634.806147
351	8610.047138
352	8594.650963
353	8571.88111
354	8555.523025
355	8540.735375
356	8539.170721
357	8503.714921
358	8490.004265
359	8480.571733
360	8463.49669
361	8446.916698
362	8440.018548
363	8423.219402
364	8415.422279
365	8399.99504
366	8398.890766
367	8385.590835
368	8359.340692
369	8343.997398
370	8327.09898
371	8304.112548
372	8293.240836
373	8276.385087
374	8268.175913
375	8262.429284
376	8231.865342
377	8202.760005
378	8181.240699
379	8156.76817
380	8153.898922
381	8148.486936
382	8142.138215
383	8136.577234
384	8132.79942
385	8104.958147
386	8078.947049
387	8073.501329
388	8072.528341
389	8053.40022
390	8043.770235
391	8043.484083
392	8040.196797
393	8022.045431
394	8016.960652
395	8006.378038
396	7990.104182
397	7964.483582
398	7950.839331
399	7922.747586
400	7916.058171
401	7890.600542
402	7877.809323
403	7852.977651
404	7835.473482
405	7819.199515
406	7814.200248
407	7792.678147
408	7772.333069
409	7769.071653
410	7767.539908
411	7740.184492
412	7730.291592
413	7724.494844
414	7716.950855
415	7705.503072
416	7692.244541
417	7683.809119
418	7677.878962
419	7672.783105
420	7657.955349
421	7657.506213
422	7634.608903
423	7628.668033
424	7614.324223
425	7603.011747
426	7586.457332
427	7579.283665
428	7577.509159
429	7560.254656
430	7545.85575
431	7545.047173
432	7539.032243
433	7526.941425
434	7513.167701
435	7478.002182
436	7458.794297
437	7457.938747
438	7441.042581
439	7421.154589
440	7417.735442
441	7414.71312
442	7408.26983
443	7400.475969
444	7391.098969
445	7379.281003
446	7368.399503
447	7349.503673
448	7328.348976
449	7319.975668
450	7306.804501
451	7298.081548
452	7279.058334
453	7276.144373
454	7260.151679
455	7251.610419
456	7249.385357
457	7242.452154
458	7240.234299
459	7225.267851
460	7222.964566
461	7196.741592
462	7180.463824
463	7173.398339
464	7170.986813
465	7147.836902
466	7131.693483
467	7113.693811
468	7100.426066
469	7070.987764
470	7069.533067
471	7062.895145
472	7043.955578
473	7035.300723
474	7014.525221
475	7010.053881
476	6983.105142
477	6980.551588
478	6976.515564
479	6944.579532
480	6931.899496
481	6929.528463
482	6912.458875
483	6905.605607
484	6884.10688
485	6863.889726
486	6860.856921
487	6849.829736
488	6839.650972
489	6834.749613
490	6833.343359
491	6832.179952
492	6827.105941
493	6821.069242
494	6817.530569
495	6805.745566
496	6798.314687
497	6786.500713
498	6772.332022
499	6770.161056
500	6760.499141
501	6749.703271
502	6728.976613
503	6723.792145
504	6717.401112
505	6715.44037
506	6695.573115
507	6689.74657
508	6674.703546
509	6663.868123
510	6655.3147
511	6646.976457
512	6644.593187
513	6639.005549
514	6629.586827
515	6626.187939
516	6620.459859
517	6608.041683
518	6604.688717
519	6581.599131
520	6559.55465
521	6533.915945
522	6531.273639
523	6519.522932
524	6508.250982
525	6487.788136
526	6475.580469
527	6460.176651
528	6438.661923
529	6430.572645
530	6424.99235
531	6403.665543
532	6402.015468
533	6389.730675
534	6388.872914
535	6384.961351
536	6380.728768
537	6371.172087
538	6361.325277
539	6357.248881
540	6348.067008
541	6344.194439
542	6341.50351
543	6340.97593
544	6335.990142
545	6320.328557
546	6317.128261
547	6314.780508
548	6308.542666
549	6308.081628
550	6300.59344
551	6281.750423
552	6277.880004
553	6260.665962
554	6249.503062
555	6221.814829
556	6213.352546
557	6191.201492
558	6169.235637
559	6165.509182
560	6165.190759
561	6152.072633
562	6145.428845
563	6132.931604
564	6120.174569
565	6115.721166
566	6114.703842
567	6113.828673
568	6105.628193
569	6103.889185
570	6088.318533
571	6083.828951
572	6073.271568
573	6061.102514
574	6052.268132
575	6050.334415
576	6029.741632
577	6019.668072
578	6001.683999
579	5978.136179
580	5968.990694
581	5959.313039
582	5957.531214
583	5956.547067
584	5953.904587
585	5951.838251
586	5947.072876
587	5941.839207
588	5935.034295
589	5920.553615
590	5917.820953
591	5916.997537
592	5916.375603
593	5908.952904
594	5904.750871
595	5893.803462
596	5890.170377
597	5879.00968
598	5865.754693
599	5856.599615
600	5842.715736
601	5833.62085
602	5826.60906
603	5810.991071
604	5804.60889
605	5803.106012
606	5794.265568
607	5780.493291
608	5775.215592
609	5771.819308
610	5768.472767
611	5741.942249
612	5727.566888
613	5721.320348
614	5711.791814
615	5693.936242
616	5678.05487
617	5675.927076
618	5666.289468
619	5655.430661
620	5643.122081
621	5639.753484
622	5633.955847
623	5623.48879
624	5621.24302
625	5616.059526
626	5605.953879
627	5586.897778
628	5586.303749
629	5582.667702
630	5581.770444
631	5575.197678
632	5562.689154
633	5549.754992
634	5539.93327
635	5537.933718
636	5536.248641
637	5527.998696
638	5526.739359
639	5513.009277
640	5505.963061
641	5504.948415
642	5502.940972
643	5494.375521
644	5490.369609
645	5481.493303
646	5463.647278
647	5462.413662
648	5453.146635
649	5442.447739
650	5440.692333
651	5426.057666
652	5417.77203
653	5412.136554
654	5402.875792
655	5389.799755
656	5387.800762
657	5384.488507
658	5383.32472
659	5381.793077
660	5376.067905
661	5368.370642
662	5356.539118
663	5348.003641
664	5341.494461
665	5332.321739
666	5328.255801
667	5321.111234
668	5314.804243
669	5306.546901
670	5305.956937
671	5296.927928
672	5283.002646
673	5278.332345
674	5268.597015
675	5264.359493
676	5257.725199
677	5247.675991
678	5237.747926
679	5230.257307
680	5229.345484
681	5216.336196
682	5207.300752
683	5201.237301
684	5191.484527
685	5187.959828
686	5183.948953
687	5178.687986
688	5170.94492
689	5170.066685
690	5166.470387
691	5156.274182
692	5150.165681
693	5146.660821
694	5139.389317
695	5134.588997
696	5122.438842
697	5111.015919
698	5103.16208
699	5098.886862
700	5093.234544
701	5090.280279
702	5090.058953
703	5082.20376
704	5081.898349
705	5071.005437
706	5069.379194
707	5064.689035
708	5059.45823
709	5059.005328
710	5057.810189
711	5057.151152
712	5054.733413
713	5049.656786
714	5046.704563
715	5046.080635
716	5036.462973
717	5032.109564
718	5026.989886
719	5018.962024
720	5008.998892
721	4994.726861
722	4988.78845
723	4985.63347
724	4984.743006
725	4978.207345
726	4977.337402
727	4975.91392
728	4960.998582
729	4946.575296
730	4937.731767
731	4932.3028
732	4921.670052
733	4914.204472
734	4911.053315
735	4910.677765
736	4909.595828
737	4903.720911
738	4896.428784
739	4882.34116
740	4881.529389
741	4879.928541
742	4870.075998
743	4863.037592
744	4859.105941
745	4853.422223
746	4848.587408
747	4847.340024
748	4841.235326
749	4833.268397
750	4820.826409
751	4811.838883
752	4811.18708
753	4810.777245
754	4802.87238
755	4801.601693
756	4793.273886
757	4788.311213
758	4777.310169
759	4773.875957
760	4769.601519
761	4759.888964
762	4747.177748
763	4743.540733
764	4727.749404
765	4717.858243
766	4701.92387
767	4692.400043
768	4691.98353
769	4683.449701
770	4674.209813
771	4661.809304
772	4654.548878
773	4642.606926
774	4633.380672
775	4630.937068
776	4622.322055
777	4616.616371
778	4612.719035
779	4608.683317
780	4603.912053
781	4583.954728
782	4582.894481
783	4582.311685
784	4577.218123
785	4573.818246
786	4566.703629
787	4560.15157
788	4555.220951
789	4553.205974
790	4550.663665
791	4549.386745
792	4547.059327
793	4541.450436
794	4537.276059
795	4527.602558
796	4522.778576
797	4515.764048
798	4514.557683
799	4509.635975
800	4504.01414
801	4501.866696
802	4491.059031
803	4490.300929
804	4487.143434
805	4486.668495
806	4476.693906
807	4474.918648
808	4466.111333
809	4453.522527
810	4452.414104
811	4447.399687
812	4437.70118
813	4426.981175
814	4423.500619
815	4417.599053
816	4417.044438
817	4414.890559
818	4405.595551
819	4398.467635
820	4394.299598
821	4387.86789
822	4377.444806
823	4362.900291
824	4359.454636
825	4354.974101
826	4351.19579
827	4349.072906
828	4343.672926
829	4341.437343
830	4327.932749
831	4325.844501
832	4325.164654
833	4310.366265
834	4307.318533
835	4298.029538
836	4294.78759
837	4286.852585
838	4282.343536
839	4275.953409
840	4267.97425
841	4258.065594
842	4254.727972
843	4254.123447
844	4246.038532
845	4238.725902
846	4238.48012
847	4230.432936
848	4224.242051
849	4223.975569
850	4218.321893
851	4210.82216
852	4203.910535
853	4196.501681
854	4194.859273
855	4186.981626
856	4182.077141
857	4177.888924
858	4177.419174
859	4171.188802
860	4158.988521
861	4158.553085
862	4155.543692
863	4150.782858
864	4146.693651
865	4138.089135
866	4135.771732
867	4135.154145
868	4131.799758
869	4116.883868
870	4112.538399
871	4112.265373
872	4110.56019
873	4107.611437
874	4100.772312
875	4097.754153
876	4096.133969
877	4095.644838
878	4092.371511
879	4087.826061
880	4079.637623
881	4078.402839
882	4066.100192
883	4055.264234
884	4053.245976
885	4052.495005
886	4043.825719
887	4035.820904
888	4034.278225
889	4032.478684
890	4013.437247
891	4009.199436
892	4002.807964
893	3996.181918
894	3995.981304
895	3991.41547
896	3981.632525
897	3973.417589
898	3969.192832
899	3960.98818
900	3958.565594
901	3951.248606
902	3949.876383
903	3944.831699
904	3942.444236
905	3930.536171
906	3922.511364
907	3919.698859
908	3915.042595
909	3911.05925
910	3906.580022
911	3899.257491
912	3892.664071
913	3892.517933
914	3891.026462
915	3885.313204
916	3881.041313
917	3876.160225
918	3866.954943
919	3861.368496
920	3854.587595
921	3851.24877
922	3844.363992
923	3839.445975
924	3831.367413
925	3828.0465
926	3822.766676
927	3816.82781
928	3811.092337
929	3809.71601
930	3806.957289
931	3803.414112
932	3803.082992
933	3801.622721
934	3792.299437
935	3787.924805
936	3780.892331
937	3774.921495
938	3767.541603
939	3762.548646
940	3754.112853
941	3748.247147
942	3748.042987
943	3743.495951
944	3742.766028
945	3737.930356
946	3737.001641
947	3726.865081
948	3722.934885
949	3718.380998
950	3716.947172
951	3712.780012
952	3700.113516
953	3699.499077
954	3696.226068
955	3688.996767
956	3687.364645
957	3680.986927
958	3667.784598
959	3665.580252
960	3665.419281
961	3658.736247
962	3655.847781
963	3646.314451
964	3641.14854
965	3636.442222
966	3630.236081
967	3628.655229
968	3628.109481
969	3622.137112
970	3620.387714
971	3615.389041
972	3609.796795
973	3604.573361
974	3600.360219
975	3591.275253
976	3582.924484
977	3582.227832
978	3576.537252
979	3568.529336
980	3561.976493
981	3559.785455
982	3554.755087
983	3552.392154
984	3545.684727
985	3544.051918
986	3534.682727
987	3528.403239
988	3525.054721
989	3518.864685
990	3514.639372
991	3508.448047
992	3500.807121
993	3497.651583
994	3491.98596
995	3488.355389
996	3486.743613
997	3485.286434
998	3476.896811
999	3472.925437
